Date,Adani Enterprises,BEL,BHEL,HCL,HUL,ITC,SPYL,Tata Steel,VUSA
2022-12-23,3642.199951,96.550003,73.949997,100.0,2621.100098,326.700012,382.910004,102.25,67.699997
2022-12-26,3716.75,99.25,76.849998,104.349998,2617.449951,334.600006,,105.0,
2022-12-27,3769.649902,100.25,77.699997,109.050003,2593.25,333.149994,381.399994,111.150002,67.57
2022-12-28,3797.699951,99.75,77.199997,108.699997,2583.600098,334.399994,376.660004,110.0,66.870003
2022-12-29,3810.600098,98.900002,78.849998,108.949997,2568.050049,335.350006,383.440002,111.75,67.290001
2022-12-30,3858.350098,99.900002,79.199997,109.599998,2561.050049,331.549988,382.429993,112.650002,66.970001
2023-01-02,3841.199951,100.25,80.150002,116.75,2558.399902,332.850006,,119.25,
2023-01-03,3830.949951,100.349998,80.349998,116.349998,2542.050049,331.100006,380.820007,118.449997,67.790001
2023-01-04,3827.050049,98.75,79.199997,114.599998,2536.100098,327.0,383.76001,115.75,67.470001
2023-01-05,3829.800049,99.949997,81.949997,115.550003,2583.699951,333.450012,379.380005,116.550003,67.5
2023-01-06,3824.25,98.949997,81.75,115.900002,2576.449951,335.049988,388.079987,115.650002,67.919998
2023-01-09,3855.300049,100.0,81.449997,119.650002,2624.050049,338.049988,387.859985,117.550003,68.68
2023-01-10,3646.899902,99.150002,79.849998,123.25,2643.850098,333.399994,390.579987,118.849998,68.07
2023-01-11,3635.800049,100.199997,81.0,125.5,2593.25,331.799988,395.519989,118.849998,69.459999
2023-01-12,3647.199951,99.400002,80.0,125.349998,2590.050049,329.850006,396.959991,118.099998,70.0
2023-01-13,3721.149902,99.949997,80.699997,126.900002,2624.0,328.75,398.5,120.449997,69.809998
2023-01-16,3619.800049,102.099998,79.75,127.949997,2597.100098,330.200012,,119.949997,70.239998
2023-01-17,3639.350098,102.900002,79.800003,128.25,2667.550049,332.25,397.769989,119.349998,69.629997
2023-01-18,3596.699951,102.699997,80.900002,130.5,2686.199951,334.649994,391.48999,122.449997,68.769997
2023-01-19,3463.550049,102.849998,80.0,130.75,2649.75,332.149994,388.640015,123.550003,67.709999
2023-01-20,3456.149902,101.800003,80.800003,130.050003,2548.75,334.600006,395.880005,122.949997,68.480003
2023-01-23,3436.350098,101.550003,80.199997,129.25,2596.399902,337.75,400.630005,122.0,70.5
2023-01-24,3442.0,100.650002,78.550003,128.649994,2600.5,338.950012,400.200012,120.400002,70.370003
2023-01-25,3388.949951,99.150002,76.699997,127.349998,2622.350098,339.25,400.350006,121.0,69.410004
2023-01-26,,,,,,,404.75,,70.300003
2023-01-27,2761.449951,94.300003,73.25,123.449997,2612.149902,346.0,405.679993,120.650002,70.82
2023-01-30,2892.850098,88.949997,74.050003,121.599998,2568.149902,344.799988,400.589996,118.75,70.540001
2023-01-31,2973.899902,94.949997,78.400002,123.300003,2576.75,352.350006,406.480011,119.699997,70.339996
2023-02-01,2135.350098,90.949997,75.599998,118.199997,2574.25,361.399994,410.799988,122.050003,70.290001
2023-02-02,1565.25,93.099998,75.599998,116.599998,2634.850098,378.600006,416.779999,119.949997,72.150002
2023-02-03,1586.800049,93.849998,74.949997,107.5,2648.75,380.649994,412.350006,120.349998,73.0
2023-02-06,1572.699951,94.5,74.650002,105.800003,2637.600098,383.399994,409.829987,117.449997,72.419998
2023-02-07,1802.949951,94.449997,75.099998,105.800003,2601.199951,373.25,415.190002,111.449997,72.0
2023-02-08,2164.25,96.099998,76.099998,108.25,2582.800049,375.549988,410.649994,111.449997,72.0
2023-02-09,1925.699951,95.800003,76.349998,107.25,2586.699951,374.25,407.089996,111.25,72.0
2023-02-10,1846.949951,96.25,75.400002,107.099998,2577.5,371.350006,408.040009,108.800003,71.599998
2023-02-13,1717.650024,94.650002,71.550003,105.900002,2581.0,374.200012,412.829987,108.75,72.129997
