,Portfolio Returns,Portfolio Standard Deviation,Sharpe Ratio,Balanced Weights
48,0.2117535665073754,0.16825163660703887,1.2585527890105326,"[0.02014785 0.09131416 0.15540982 0.15496857 0.06075681 0.16919776
 0.11160922 0.15617865 0.08041716]"
49,0.014566565131412329,0.22096514003783124,0.06592245785429503,"[0.20631918 0.08874956 0.05779744 0.06633499 0.0920121  0.17322312
 0.0474545  0.25835074 0.00975837]"
50,0.09535627601668785,0.1428937497672038,0.6673229317030178,"[0.08077184 0.08842323 0.09670196 0.05164253 0.19289708 0.14119822
 0.02426853 0.13932345 0.18477316]"
51,0.17198808593143167,0.18462757923194303,0.9315405999846172,"[0.0339635  0.16405476 0.09330465 0.22478667 0.15404597 0.04847098
 0.09172993 0.17166679 0.01797676]"
52,0.10107648227621346,0.1764723291403948,0.5727610825366326,"[0.12512513 0.10586624 0.17548494 0.04241044 0.20449539 0.06529956
 0.14547489 0.04990359 0.08593983]"
53,0.039070465674623654,0.24780447033807432,0.15766650868453122,"[0.21261636 0.13771952 0.1742131  0.01796998 0.09113205 0.0145146
 0.00982093 0.27013045 0.07188301]"
54,0.06927168071068021,0.195657143465639,0.354046264213428,"[0.14891276 0.09238789 0.08460872 0.14661151 0.1054352  0.10937629
 0.0681042  0.13590629 0.10865713]"
55,0.06277093710108254,0.17549374299885898,0.357681909499706,"[0.137525   0.13497615 0.02418444 0.13562657 0.08299966 0.14646828
 0.13366358 0.09904039 0.10551594]"
56,0.20043555909890587,0.14723102239752692,1.3613677052226505,"[0.01348743 0.11525638 0.19187559 0.02722452 0.14339976 0.17147127
 0.06620961 0.1237291  0.14734633]"
57,0.12412489182169816,0.1921695360611857,0.6459134697716994,"[0.12677046 0.10693311 0.21138079 0.06238119 0.1923139  0.08139948
 0.11800926 0.05041449 0.05039733]"
58,0.10428146934086024,0.16341682747603284,0.6381317698518805,"[0.09352944 0.14626801 0.08083682 0.11366156 0.14693108 0.08124244
 0.12554398 0.12163065 0.09035603]"
59,0.08675980308972805,0.20879334836687255,0.4155295356309995,"[0.15662549 0.07058236 0.11565499 0.15567944 0.08162129 0.08575494
 0.17613872 0.14962268 0.00832008]"
60,0.04388878447389585,0.19787589193078195,0.221799553475915,"[0.18973022 0.04774224 0.09008711 0.07101731 0.00069604 0.14723848
 0.20313619 0.10690987 0.14344254]"
61,0.062110822815781425,0.18724682062947942,0.33170562045849195,"[0.15322961 0.06245774 0.13558192 0.08477829 0.12938097 0.02280337
 0.14247524 0.08867641 0.18061645]"
62,0.04755870349848908,0.18383099597260863,0.2587088387726271,"[0.16740433 0.06731791 0.07457015 0.08716073 0.15596757 0.17564008
 0.15216434 0.08614164 0.03363327]"
63,-0.004853820885824443,0.20428217806858276,-0.02376037367388403,"[0.22232254 0.0112469  0.07140754 0.03959938 0.08907911 0.24928021
 0.05512151 0.07781895 0.18412385]"
64,0.13365954146362308,0.18081214755765185,0.7392177089263641,"[0.09445537 0.12352695 0.13093307 0.15230328 0.08447347 0.06130554
 0.13186538 0.09483281 0.12630413]"
65,0.1509906575232187,0.21299160890417498,0.7089042535527748,"[0.11549047 0.15336703 0.17261726 0.16299229 0.02592028 0.06140306
 0.10318031 0.11688859 0.08814073]"
66,0.12846003668297268,0.17545230248071433,0.7321650093311997,"[0.10078684 0.13936135 0.09371171 0.15478456 0.05775025 0.15104007
 0.1267455  0.06797458 0.10784515]"
67,0.07430290720442903,0.22153011609323983,0.33540770218869775,"[0.15726269 0.16970951 0.10245252 0.12797038 0.0870975  0.025717
 0.06545869 0.22641235 0.03791935]"
68,0.15548800569287152,0.1496042753808482,1.0393286241121458,"[0.00871475 0.10734679 0.0305911  0.19954446 0.13813736 0.09757515
 0.14921459 0.17908519 0.08979059]"
69,0.11241941485100661,0.1843104923591633,0.609945822465367,"[0.13313388 0.04998469 0.17025517 0.04323259 0.01268681 0.12578062
 0.15893077 0.17271471 0.13328078]"
70,0.14883383518491625,0.13471344251119935,1.1048179929968236,"[0.01966279 0.01897963 0.09964362 0.10596856 0.14501431 0.17017877
 0.0432483  0.17914693 0.2181571 ]"
71,0.04329134396596142,0.20719716453652223,0.20893791699707617,"[0.18943646 0.03922831 0.09146997 0.09998932 0.01710889 0.10682657
 0.18854269 0.1601654  0.10723238]"
72,0.13660194559643216,0.1356934866024918,1.0066949344193774,"[0.04650024 0.03122422 0.04061374 0.15451238 0.05748508 0.32059291
 0.02630691 0.06873409 0.25403042]"
73,0.12679931264482738,0.14926162269971632,0.8495104793274392,"[0.06270741 0.08061112 0.06920353 0.13220001 0.04852392 0.1397335
 0.10746769 0.15524444 0.20430837]"
74,0.1598851199325256,0.14235288262637932,1.123160395368751,"[0.03357643 0.13317978 0.10519634 0.06308122 0.12785891 0.17745246
 0.08845397 0.17200885 0.09919205]"
75,0.1116190099890499,0.1813177989715984,0.615598747735372,"[0.09983259 0.15010329 0.1074315  0.13561508 0.16691582 0.01052515
 0.17014388 0.14179399 0.0176387 ]"
76,0.07863659983810127,0.18614014630734793,0.4224591062062417,"[0.12990267 0.1528755  0.12895102 0.07446774 0.15639128 0.02525679
 0.03082434 0.12804868 0.17328197]"
77,0.11778184821424308,0.220908361544355,0.5331706205724327,"[0.15885167 0.01369503 0.18873787 0.18763572 0.05438631 0.11946909
 0.12959564 0.05325232 0.09437634]"
78,0.1750124441731482,0.15958750837202268,1.0966550324550945,"[0.0712579  0.1529797  0.17159554 0.02510497 0.08541709 0.21534362
 0.1586436  0.07724591 0.04241167]"
79,0.09002811470292739,0.1728278218596873,0.5209121641075706,"[0.07586347 0.04538161 0.05115229 0.19430429 0.10624894 0.01485609
 0.04392197 0.24385049 0.22442084]"
80,0.17058065729853267,0.15996929320140554,1.0663337562151203,"[0.02835067 0.15571168 0.01239571 0.22831715 0.0274822  0.17189839
 0.21703472 0.1173718  0.04143769]"
